source	target	search_result
O blogueiro auto-denominado euro-socialista, Pavel Pryanikov reagiu inventando o termo “creacl“ [ru], uma palavra-valise para “classe criativa” (o neologismo parece ter decolado, já contando com mais de 6.000 acessos no motor de busca Yandex).	Self described eurosocialist blogger Pavel Pryanikov reacted by coining the term “creacl” [ru], a portmanteau of “creative class.”  (The word seems to have taken off, with over 6,000 hits on Yandex already.)	Amilton [sic] havia encerrado as atividades de seu blog no último dia 9, para cuidar de “problemas de saúde e outras dificuldades”.
Priyanikov publicou um artigo, fundamentado na sociologia, no qual delineou as razões para a tragédia iminente dos creacls, como exemplificado pela família Kabanov:	Priyanikov posted an article, heavy on sociology, in which he outlined the reasons for the coming tragedy of the creacls as exemplified by the Kabanov family:	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
1) falta de perspectivas para os recém-chegados a Moscow 2) redução no volume de trabalhos “intelectuais” 3) falta de bem-estar social para creacls marginalizados.	1)lack of perspectives for new arrivals to Moscow 2)a reduction in the volume of “intellectual” jobs 3)lack of social welfare for underdog-creacls	Um sistema sem qualquer tipo de controlo cidadão, refém de um modelo económico-financeiro, sem preocupações sociais ou ambientais e que fomenta as desigualdades, a pobreza e a perda de direitos à escala global.
Ele referia-se ao fato de que Kabanov e Cherska, como muitos outros transferidos, não possuíam registro em Moscow e estavam alugando um apartamento.	He was referring to the fact that Kabanov and Cherska, like many other transplants, lacked Moscow registration and were renting an apartment.	Pelo que apreendi na altura e sei hoje, o Estado português, na época, não lhes prestou lá o apoio que deveria.
O professor de Ensino Superior de Economia, Kirill Martynov, estava na mesma página em uma publicação ríspida [ru] intitulada “O fim da classe criativa”:	Higher School of Economics lecturer Kirill Martynov was on the same page in a harsh post [ru] entitled “The End of the Creative Class”:	Eu passei horas lendo o que essa turma do PUA Brasil escreve.
[…] verificou-se que naquele Facebook acolhedor, agradável, povoado com maridos dotados, há monstros.	[…] it turned out that inside the cozy, nice Facebook, peopled with doting husbands, there be monsters.	(…) Quem nos ataca se esquece que somos homens, e acima de tudo, homens de valor (e armados!).
[…] Que, em vez de ideais grandiosos de igualdade e fraternidade, enfrentamos, de […] bolsos vazios, […] amigos fofoqueiros, alcoolismo e sentimentos ordinários, egoístas […] E então você fica de pé na praça segurando um pôster “Putin tem que sair”, mas desligou seu telefone para que credores não possam encontrá-lo, está pensando sobre a garrafa de whiskey, onde mais emprestar dinheiro e, pela manhã, vai bater na esposa.	[…] That instead of lofty ideals of equality and fraternity we are faced with […] empty pockets, […] gossiping friends, alcoholism and ordinary, small feelings […] And so you stand on the square with a poster “Putin must go”, but you've turned off your phone so that creditors can't reach you, you are thinking about the bottle of whiskey, where else to borrow money, and in the morning you'll beat your wife.	[…] Na confusão perdi meu celular e algumas outras coisas.  O acampamento ficou desbaratado e os ânimos devastados.
Enquanto alguns recorreram à sociologia, para outros membros da classe criativa “condenada” a longa busca resultou em uma dissonância cognitiva, que logo se transformou em paranoia.	While some turned to sociology, for other members of the “doomed” creative class the soul searching resulted in cognitive dissonance, which soon morphed into paranoia.	[…] Na confusão perdi meu celular e algumas outras coisas.  O acampamento ficou desbaratado e os ânimos devastados.
A prisão e a subsequente confissão de Kabanov deixaram essas pessoas hesitantes.	Kabanov's arrest and subsequent confession left these people unconvinced.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Os sentimentos encontram-se exemplificados no seguinte comentário [ru], afixado em um dos posts do Facebook de Kabanov:	The sentiments are exemplified in the following comment [ru] left on one of Kabanov's Facebook posts:	A actual governação assenta numa falsa democracia em que as decisões estão restritas às salas fechadas dos parlamentos, gabinetes ministeriais e instâncias internacionais.
E se o cara simplesmente tiver caído em uma armação?	What if the dude just got set up?	Não podia esperar sua saída (se é que vai sair) para fazê-lo?
Você não concordaria, considerando o envolvimento dele com a oposição, que isto é mais fácil de acreditar do que o fato de ele ter matado e desmembrado a esposa, começado a procurá-la, mas ter mantido o corpo dela no porta-malas…	Wouldn't you agree, bearing in mind his involvement in the opposition, that this is easier to believe than the fact that he killed his wife, dismembered her, started looking for her, but kept her body in the trunk…	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
O carro que Kabanov utilizou para se desfazer do corpo.	The car Kabanov used to dispose of the body.	O novo carrinho foi levado para a Praça Tiradentes, o marco zero de Curitiba, e ganhou uma identidade visual feita especialmente para ele.
Certamente, para alguns, é mais fácil acreditar que Kabanov, um manifestante ordinário da oposição, foi alvo do Kremlin, que matou sua esposa, desmembrou-a e a colocou no porta-malas para armar contra ele, do que acreditar que ele próprio poderia ter feito isso.	Indeed, for some it's easier to believe that Kabanov, a rank-and-file opposition marcher, was targeted by the Kremlin, which killed his wife, dismembered her, and put her in his trunk to set him up, than to believe he could have done that himself.	Mesmo diante de eventuais excessos por parte de alguns manifestantes, não há nenhuma justificação para as cenas que se vê, incluindo agressões contra quem estava filmando o episódio (o que, aliás, não é a primeira vez que acontece).
A vidente Elina Hoffman não pensou [ru] que fosse uma conspiração do governo, mas sim local:	Elina Hoffman, a psychic, thought [ru] it wasn't a government conspiracy, but rather a local one:	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Minha sensação é que [o corpo] foi colocado lá pela polícia, para melhorar suas estatísticas de crime.	My feeling is that it [the body] was placed there by the police, to improve their crime stats.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Enquanto o blogueiro brill_poroshina demonstrou [ru] que opinião não tem que ser racional:	While blogger brill_poroshina demonstrated [ru] that belief doesn't have to be rational:	Como comentei em outro blog: hoje, sites e jornais de nada me serviram.
Eu simplesmente não acredito nessa história.	I just don't believe in this story.	O jornalismo está abandonando, aos poucos, por motivos inconfessáveis, a valorização das personagens como elemento de narrativa.
Não acredito, e não sei exatamente porquê, [itálicos do autor, A.T.] mas no geral a história parece muito falsa, e, o mais importante, o corpo foi encontrado exatamente antes da marcha do dia 13.	I don't believe, and I don't know why exactly, [my italics, A.T.] but in general the story looks very fake, and, the most importantly, the body was found right before the march on the 13th.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Outros fizeram a mesma conexão com a iminente Marcha Contra os Vilões [en], insinuando que o governo poderia estar tentando desacreditar a oposição.	Others made the same connection to the coming March Against Scoundrels [ru], insinuating that the government could be trying to discredit the opposition.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
O blogueiro Andrei Cherepanov, da rádio Echo Moskvy pensou [ru] que a polícia poderia ter “persuadido” a confissão de Kabanov.	Echo Moskvy blogger Andrei Cherepanov thought [ru] that the police could have “persuaded” Kabanov's confession.	“Foi o pretexto de que o Alto Comando carecia para manifestar seu inconformismo com a revelação da verdade histórica.
Ele também tinha certeza de que os meios do comunicação do estado usariam a tragédia para associar Kabanov ao movimento.	He was also sure that the state run media would use the tragedy to associate Kabanov with the movement.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
O usuário do LifeJournal bartang [ru] apontou as similaridades entre a história de Kabanov e as acusações de abuso infantil contra o blogueiro de oposição, Rustem Adagamov (drugoi):	LifeJournal user bartang [ru] noted the similarities between Kabanov's story and accusations of child abuse against the opposition blogger Rustem Adagamov (drugoi):	A polícia catarinense ainda investiga as circunstâncias da morte do blogueiro.
Resumindo, eu não acredito que seja ele.	In short, I don't believe it's him.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
O corpo foi encontrado antes da marcha de protesto, o que é demasiado oportuno.	The body was found before the protest march, it's too timely.	O protesto não tem prazo para terminar.
[…] Pensei que eles tentariam interromper o protesto, mas não poderia ter imaginado isso.	[…] I did think that they would try to break the protest, but I couldn't have imagined this.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
A história com drugoi foi um aquecimento.	The story with drugoi was a warm-up.	Foi terrível para muita gente, para muitas famílias.
Ou seja, “ninguém está salvo!”	In other words, “No one is safe!”	E outros de quem não conhecemos os nomes”.
Embora seja verdade que os meios de comunicação do estado e os blogueiros pró-Kremlin tenham explorado as visões políticas de Kabanov com o fim de ridicularizar a oposição, a ideia de que Kabanov foi incriminado pelo homicídio de sua esposa por essa razão é fantástica.	Although it is true that state media and pro-Kremlin bloggers have been exploiting Kabanov's political views to ridicule the opposition, the idea that Kabanov was framed for his wife's murder for that reason is fantastical.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Crítico do governo assumido e blogueiro nacionalista, Egor Prosvirnin tem sustentado tais teorias [ru] com a inabilidade do movimento protestante em questionar seus próprios líderes:	Outspoken government critic and nationalist blogger Egor Prosvirnin has tied such theories [ru] with the inability of the protest movement to question its own leaders:	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
[…] pode f***r os usuários do facebook que apoiam a Campanha Fita Branca, e em retorno eles apenas sorrirão e dirão que é tudo calúnia, com o fim de desacreditar uma pessoa bacana.	[…] you can skullf*ck the white-ribbon facebookers, and in return they'll just smile and say that its all slander, done to discredit a nice person.	A actual governação assenta numa falsa democracia em que as decisões estão restritas às salas fechadas dos parlamentos, gabinetes ministeriais e instâncias internacionais.
Quando mesmo o desmembramento do corpo de uma esposa é incapaz de abalar a fé da comunidade do facebook e de seus companheiros, então por que ainda conversar sobre casos menos impressionantes […]	When even the dismemberment of a wife's corpse is incapable of shaking the faith of the facebook community in its comrade, then why even talk about less striking cases […]	Quando as aulas voltarem, ele descobriu uma forma de segurar a molecada em casa ano que vem terceirizando a repressão para a família - sempre ela - que agora pode ir às ruas tranquila, e fazer selfie com a Força Tática, para pedir o impeachment.
À medida que a situação política na Rússia se torna mais amarga, tais acusações, recriminações e teorias da conspiração de ambos os lados tendem a se tornar a regra - principalmente no ambiente impressionável do RuNet.	As the political situation in Russia becomes more embittered, such accusations, recriminations, and conspiracy theories from both sides are likely to become the norm - especially in the impressionable environment of the RuNet.	Mesmo diante de eventuais excessos por parte de alguns manifestantes, não há nenhuma justificação para as cenas que se vê, incluindo agressões contra quem estava filmando o episódio (o que, aliás, não é a primeira vez que acontece).
Parte I: Facebook russo dos horrores: A trilha do assassino	Part I: Russian Facebook of Horrors: The Murder Trail	Russian Facebook of Horrors: The Murder Trail
Parte II: Russian Facebook of Horrors: From Tragedy to Humor [en]	Part II: Russian Facebook of Horrors: From Tragedy to Humor	Part I: Russian Facebook of Horrors: The Murder Trail Part II: Russian Facebook of Horrors: From Tragedy to Humor
Na segunda-feira, dia 21 de janeiro, também foi o dia de Martin Luther King - o grande homem que em 1967 disse: “Quando o poder científico supera o poder espiritual temos mísseis teleguiados e homens desorientados”.	Tucker on Facebook Monday, January 21, was also Martin Luther King's Day - the great man who in 1967 said “When scientific power outruns moral power, we end up with guided missiles and misguided men.”	[…] Na confusão perdi meu celular e algumas outras coisas.  O acampamento ficou desbaratado e os ânimos devastados.
@ImmortalTech: Dr. King disse “Eu tenho um sonho.	@ImmortalTech: Dr. King said “I have a dream.”	“[…] ilhada como fiquei em casa, pude acompanhar e participar da cobertura em tempo real proporcionada pelo Twitter.
” não “Eu tenho um Drone & uma lista de jurados de mortos com americanos nela, mas você não pode vê-la ou saber como foi parar lá.”	Not, “I have a Drone & a Kill list with Americans on it but you can't see it or know how you there.”	E outros de quem não conhecemos os nomes”. I have family who fled Angola in '75.
Vale a pena ressaltar que a eficácia do uso dos drones na erradicação do Al-Qaeda no Iêmen tem sido muito debatida, pois seus membros tem aumentado desde 2009.	It is worth pointing that their effectiveness has been greatly debated in eradicating Al-Qaeda in Yemen, whose members have increased since 2009.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Drones americanos certamente têm criado raiva [en] e ressentimento em relação ao governo dos EUA.	US drones have certainly been breeding anger and resentment towards the US administration.	A actual governação assenta numa falsa democracia em que as decisões estão restritas às salas fechadas dos parlamentos, gabinetes ministeriais e instâncias internacionais.
Um é com­ple­ta­mente invi­sí­vel do outro”.	Completely invisible to one another”.	E outros de quem não conhecemos os nomes”.
O oposto tam­bém acon­tece.	The opposite also occurs.	Abandonou-os, mesmo.
Tira por Fábio Moon e Gabriel Bá.	(4) I can help.  You´re not alone.	Deneb Altair e Vega.
Vi que não tinha problema até porque o percurso não é o que o ônibus faz e nem de carro você faria, de forma geral, porque eu vou pela orla, e na orla eu tenho a sorte de ter, em uma grande parte, a ciclovia.	I realized that it was not a problem because the route is not the same for the bus or the cars, in general, because I go by the coastline, and by the coastline I am lucky to have, for a long patch, the cycle lane.	Pelo que apreendi na altura e sei hoje, o Estado português, na época, não lhes prestou lá o apoio que deveria.
Eu tinha a bicicleta como lazer, mas a minha virada (risos) para copiar aqui um pouco o termo que o Roque usou se deu há 7 anos atrás.	I cycled for leisure, but my turning point (laughs) to copy a little bit the term used by Roque, took place 7 years ago.	Pelo que apreendi na altura e sei hoje, o Estado português, na época, não lhes prestou lá o apoio que deveria.
Em 2004, eu comecei a elaborar meu Trabalho Final de Graduação (TFG) na Faculdade de Arquitetura.	In 2004, I started to do my graduation work at the Faculty of Architecture.	Pelo que apreendi na altura e sei hoje, o Estado português, na época, não lhes prestou lá o apoio que deveria.
Comecei a andar no bairro e comecei a observar… Ficava na praça olhando e via um monte de bicicletas passando e principalmente homens adultos e crianças andando no bairro de bicicleta.	I started walking by the neighborhood to observe … I stayed in a square looking at people and loads of bikes passing by, which were mostly rode by male adults and children.	Alguém fez vibrar um diapasão, a multidão percebeu o tom e procurou a mesma afinação.
Bicicleta em Piatã, Salvador da Bahia.	A bike in the neighborhood of Piatã, Salvador, Bahia.	Só que além disso, olha o que é ser pipoqueiro no século XXI: ele coloca um pacotinho com um guardanapo, um palito de dente e uma bala de hortelã.
Foto de DavidCampbell_ no Flickr (CC BY-NC 2.0)	Photo by DavidCampbell_ no Flickr (CC BY-NC 2.0)	Image by Flickr user xabeldiz (CC BY 2.0)
Através do Facebook?	Through Facebook?	And Facebook?
Há outros canais de comunicação, encontros?	Are there other channels of communication, meetings?	Além do debate, o encontro busca promover o diálogo e o intercâmbio entre as pesquisas acadêmicas e as experiências inovadoras da sociedade civil de produção de mídia que enfatizem uma prática cidadã.
“Ontem, por volta das 14:00, um motorista de ônibus, na av. ACM, quase me atropela.”	“Yesterday, around 14:00, a bus driver, on the road ACM, almost hit me.	[…] Na confusão perdi meu celular e algumas outras coisas.  O acampamento ficou desbaratado e os ânimos devastados.
O relato de Eduardo Luedy em seu blog, De Velo em Salvador, em agosto de 2010.	” The story of Edward Luedy on his blog, De Velo in Salvador in August 2010.	Os representantes do povo nada fazem.  […] É preciso que o mundo saiba o que acontece no Maranhão.
Em um determinado dia, ele fez uma postagem em que contava uma situação que passou na Avenida ACM, na qual ele foi empurrado para fora da pista por um ônibus em alta velocidade.	One day, he posted a story reporting on something that happened to him on the ACM Road [pt]; he was pushed off his route by a speedy bus.	No bolso frontal dos uniformes usados por ele foram estampados os dias da semana, para que o freguês tenha a certeza de que Valdir não usa hoje a roupa suja de ontem.
Peguei essa postagem e comecei a colocar em vários locais.	It was the kind of situation cyclists could go through when on the streets.	Foi terrível para muita gente, para muitas famílias.
Três Estados da CPLP não ratificaram Convenção da ONU Contra a Tortura	Three Portuguese Language States Ignore UN Convention Against Torture	O protesto não tem prazo para terminar.
Foi criada uma petição no site Avaaz pelo Conselho Internacional de Reabilitação de Vítimas de Tortura. Eu sou Português e sou de uma geração de jovens que querem romper completamente longe das hostilidades que marcaram este grupo de países nos anos 60 e 70.	I am Portuguese and I am from a generation of young people who want to completely break away from the hostilities that marked this group of countries in the 60s and 70s.	Assine a petição contra Belo Monte: impeça este desastre ambiental na Amazônia! http://avaaz.org/parebelomonte
Esta geração que sonha com uma verdadeira comunidade de países lusófonos que usa a herança compartilhada como uma ferramenta para promover o desenvolvimento humano e de enriquecimento cultural.	This generation dreams of a true community of Lusophone countries that uses the shared heritage as a tool to advance human development and cultural enrichment.	Além do debate, o encontro busca promover o diálogo e o intercâmbio entre as pesquisas acadêmicas e as experiências inovadoras da sociedade civil de produção de mídia que enfatizem uma prática cidadã.
O veredicto final foi proferido no dia 24 de janeiro de 2013 e Pinar será presa se voltar à Turquia.	The final verdict was delivered on January 24, 2013.  If she returns to Turkey, she will be arrested by the police.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Brasil: “Massacre do Pinheirinho”, um ano depois	Brazil: “Massacre of Pinheirinho”, One Year Later	Brazil: “Massacre of Pinheirinho”, One Month Later
O dia 22 de janeiro de 2013 marcou o primeiro ano da violenta desocupação da ocupação Pinheirinho na cidade de São José dos Campos, Brasil.	January 22, 2013 marked one year since the violent eviction of the Pinheirinho settlement in the city of São José dos Campos, Brazil.	Foi terrível para muita gente, para muitas famílias.
Como o Global Voices relatou na época:	As Global Voices reported back then:	As the blog Discapacidad en Acción [es] points out:
Foto tirada durante manifestação marcando o aniversário de um ano da descocupação.	Photo taken during the demonstration marking the one-year anniversary since the eviction.	O protesto não tem prazo para terminar.
Um ano se passou e lamentavelmente a violência ainda permanece.	Photo by Beatriz Bevilaqua.  (Used with permission.)	Foi terrível para muita gente, para muitas famílias.
Uma manifestação para celebrar a data teve lugar na entrada do terreno do Pinheirinho - agora vazio - em São José dos Campos.	A demonstration to commemorate the date took place at the entrance to the grounds of Pinheirinho - now empty - in São José dos Campos.	Os representantes do povo nada fazem.  […] É preciso que o mundo saiba o que acontece no Maranhão.
O historiador Rogério Beier, que participa da filmagem de um documentário sobre o caso, comentou sobre a situação das mais de 1500 famílias expulsas de suas casas, “causando muita dor e sofrimento a mais de oito mil pessoas que viviam no terreno”:	Historian Rogério Beier, participating in the filming of a documentary about the case, commented [pt] on the current situation of the more than 1,500 families that were evicted, “causing much pain and suffering to more than 8,000 people living on the land”:	“Tenho família que fugiu de Angola em 75.  Foi terrível para muita gente, para muitas famílias.
Passado um ano desde a desocupação, essas pessoas seguem sem uma solução definitiva com relação a moradia adequada e, pior, continuam sofrendo diversos tipos de violências como preconceito e discriminação, desintegração da família, péssimas condições de moradia e dificuldades para encontrar emprego, dentre outras. […]	One year on since the eviction, these people still haven't been able to find a final solution with respect to adequate housing and, worse, continue to suffer various types of violence such as prejudice and discrimination, family breakdown, poor housing conditions and difficulties in finding employment, among others.	Um sistema sem qualquer tipo de controlo cidadão, refém de um modelo económico-financeiro, sem preocupações sociais ou ambientais e que fomenta as desigualdades, a pobreza e a perda de direitos à escala global.
O ato foi muito importante para marcar um ano desde a reintegração de posse do Pinheirinho.	The demonstration was very important to mark one year since the repossession of Pinheirinho.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
O terreno, desde então, continua vazio e as pessoas que ali moravam, seguem desabrigadas.	The land has since remained empty and the people who lived there still remain homeless.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
A data não podia passar em branco e a organização do evento está de parabéns por relembrar ao Brasil que a luta do Pinheirinho ainda continua.	The date could not be allowed to pass by unacknowledged and event's organizers are to be congratulated for reminding us that the struggle of Pinheirinho still continues.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Também entendemos que é bastante importante saber que os políticos que participaram do ato, se posicionam claramente ao lado dos ex-moradores do Pinheirinho na luta por uma solução definitiva para a moradia dessas mais de 8 mil pessoas.	We also understand that it is very important to know that politicians who participated in the demonstration, clearly aligning themselves in support of the former residents of Pinheirinho in the fight for a permanent solution for the housing of over 8,000 people.	Além do debate, o encontro busca promover o diálogo e o intercâmbio entre as pesquisas acadêmicas e as experiências inovadoras da sociedade civil de produção de mídia que enfatizem uma prática cidadã.
Apesar disso, esperávamos que o ato fosse marcado pela participação dos ex-moradores como personagens principais das atividades que ali se desenrolariam, o que infelizmente não aconteceu.	Nevertheless, we expected that the demonstration would see the participation of former residents as central figures of the activities that would unfold there, which unfortunately did not happen.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Foi impossível não sair com uma sensação de desapontamento ao constatar que, tal como alguns moradores haviam nos adiantado, o ato do Pinheirinho no Poliesportivo acabou dando muito mais um espaço aos políticos do que aos ex-moradores.	It was impossible not to come away with a feeling of disappointment to find that, as some residents had warned us in advance, the Pinheirinho demonstration at the sports center ended up giving much more space to politicians than to the former residents.	Pelo que apreendi na altura e sei hoje, o Estado português, na época, não lhes prestou lá o apoio que deveria.
O COADE - Coletivo de Advogados para a Democracia descreveu em seu blog o que mudou em um ano:	Photo taken during the demonstration marking the one-year anniversary of the eviction.	A actual governação assenta numa falsa democracia em que as decisões estão restritas às salas fechadas dos parlamentos, gabinetes ministeriais e instâncias internacionais.
Por outro lado, estes cidadãos resistiram e resistem até hoje e não estão sozinhos.	On the other hand, these citizens fought back and continue to fight back today and they are not alone.	Pelo que apreendi na altura e sei hoje, o Estado português, na época, não lhes prestou lá o apoio que deveria.
Temos o dever de exigir do poder público a devida reparação dos danos morais e patrimoniais causados àquela população.	We must demand the government award due compensation for damages and injuries caused to that population.	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Moradia é uma necessidade básica de sobrevivência.	Housing is a basic need for survival.	Foi terrível para muita gente, para muitas famílias.
Trata-se de dignidade humana.	It is about human dignity.	Queremos as nossas vidas) [en].
É por isso que este Coletivo apoia incondicionalmente a luta das famílias do Pinheirinho.	That's why this Collective fully supports the struggle of the families of Pinheirinho.	É isso que praticam torturadores, opressores e inquisidores e pedófilos da Igreja Católica.
A blogueira Conceição Oliveira (Maria Frô) comentou sobre a violência policial contra a população, especialmente contra o idoso Ivo Teles, que morreu em decorrência dos ferimentos sofridos durante a desocupação:	Blogger Conceição Oliveira (Maria Frô) commented [pt] on police violence against the population, especially against the elderly Ivo Teles, who later died of the injuries:	A polícia catarinense ainda investiga as circunstâncias da morte do blogueiro.
O senhor Ivo Teles dos Santos que aparece no vídeo abaixo com seu corpo frágil de mais de setenta anos e que foi brutalmente espancado pelos PMs durante a invasão da tropa de choque no Pinheirinho e que após internação veio a falecer é o símbolo da covardia e a violência do Estado contra seus cidadãos.	Mr. Ivo Teles dos Santos, who appears in the video below, with his frail body more than 70 years old and who was brutally beaten by officers during the invasion of riot police in Pinheirinho and who died after hospitalization, his case is the symbol of the state's cowardice and violence against its citizens.	Toda vez que um ser humano é seviciado e violentado em sua dignidade e direitos, o templo de Deus é profanado.
Militares da tropa de choque que espancaram idosos, jogaram bombas de gás em mulheres e crianças e são acusados de violência sexual foram parte do espetáculo grotesco do dia 22 de janeiro de 2012.	Military riot police who beat the elderly, threw gas bombs at women and children and are accused of sexual assault were part of the grotesque spectacle on January 22, 2012.	Mesmo diante de eventuais excessos por parte de alguns manifestantes, não há nenhuma justificação para as cenas que se vê, incluindo agressões contra quem estava filmando o episódio (o que, aliás, não é a primeira vez que acontece).
Ela também postou um vídeo do YouTube do usuário Wilian Cesar mostrando Ivo Teles discutindo com policiais e mostrando as marcas da violência sofrida:	She also posted a YouTube video by user Wilian Cesar showing the Ivo Teles arguing with police and showing the marks of violence he suffered:	Além do debate, o encontro busca promover o diálogo e o intercâmbio entre as pesquisas acadêmicas e as experiências inovadoras da sociedade civil de produção de mídia que enfatizem uma prática cidadã.
A mensagme final de luta vem do blog da Rede Extremo Sul, que representa a população empobrecida e vítima de violência do extremo sul da cidade de São Paulo:	The final message of struggle, comes from [pt] the blog of the Rede Extremo Sul (Extreme South Network) that represents the impoverished population and victims of violence from the southernmost parts of São Paulo:	A rápida conclusão, porém, não convenceu seus amigos e familiares, que exigem rigorosa apuração do caso.
Enquanto esse sofrimento, tão disseminado, não cimentar nossa união, e enquanto ele não for canalizado para o combate desse sistema que nos massacra, a cada ano teremos mais massacres para lembrar e lamentar.	As long as this suffering, which is so widespread, does not unify us, and as long as it is not channeled in order to fight against this system that is killing us, every year we will have more massacres to remember and mourn.	Um sistema sem qualquer tipo de controlo cidadão, refém de um modelo económico-financeiro, sem preocupações sociais ou ambientais e que fomenta as desigualdades, a pobreza e a perda de direitos à escala global.
Que os lutadores e as lutadoras não demoremos a decidir e a dizer numa só voz: este foi o último!	Let us hope that those that fight do not tarry to decide and say with one voice: this was the last one!	(…) Quem nos ataca se esquece que somos homens, e acima de tudo, homens de valor (e armados!).
