source	target	search_result
Copyright: %1 @info	Copyright: %1	Copyright: %1
Karaoke-Typ: %1 @info	Karaoke type: %1	Karaoke info: %1
Karaoke-Version: %1 @info	Karaoke version: %1	Karaoke info: %1
Karaoke-Sprache: %1 @info	Karaoke language: %1	Karaoke info: %1
Karaoke-Titel: %1 @info	Karaoke title: %1	Karaoke info: %1
Karaoke-Warnungen: %1 @title:window	Karaoke warnings: %1	Karaoke info: %1
Stück-Informationen@title:window	Sequence Information	Window Information
Liedtext als Datei speichern@info	Save lyrics to file	Jasem Mutlaq mutlaqja@ku. edu
Auf Ihrem System sind zurzeit keine MIDI-Ports verfügbar. In den Einstellungen von KMid2 können Sie das Ausführen eines Software-Synthesizers, wie z. B. TiMidity++ oder FluidSynth, beim Start von KMid2 einrichten. Weitere Informationen dazu können Sie im Online-Handbuch finden.@title:window	There are no available MIDI ports in your system. You can specify a software synthesizer, such as TiMidity++ or FluidSynth, to be launched automatically when KMid2 starts. This option is located in the dialog Settings- > Configure kmid2, Programs category. You can find more information in the online help documents.	Configure MIDI Devices
MIDI-Player-Verbindung@info	MIDI Player connection	MIDI Channels
Sie müssen einen MIDI-Port auswählen, falls Sie Ton haben möchten. Der MIDI-Port kann ein Software-Synthesizer, wie Timidity++ oder FluidSynth, ein externes MIDI-Gerät oder ein von Ihrer Sound-Karte zur Verfügung gestellter Hardware-Synthesizer sein. Diese Einstellung kann über den Punkt„ KMid2 einrichten ...“ aus dem Menü„ Einstellungen“ geändert werden. Weitere Informationen dazu finden Sie im Online-Handbuch. Bitte wählen Sie nun einen MIDI-Port aus:@title:window	You need to select one MIDI port if you want to be able to listen sounds. This MIDI port may be a software synthesizer like Timidity++ or FluidSynth, or an external MIDI device, or a hardware synthesizer provided by your sound card. This setting can be changed later, using the Settings- > Configure kmid2- > MIDI dialog. You can find more information in the online help documents Please select one MIDI port now:	The & kmix; panel applet is an alternative interface to & kmix;. You can add it to the & kde; panel by selecting Add Applet to Panel... in the Panel Menu or context menu. Choose Sound Mixer and click the Add to Panel or double click Sound Mixer.
Wiedergabeliste laden@title:window	Open playlist from file	& Reload List
Wiedergabeliste als Datei speichern@title:window	Save playlist to file	File Save as Draft
Lautstärke und Tonhöhe@label:slider Sound master volume	Volume and Pitch	The Volume slider
Lautstärke@label:slider Musical tone, note height (transpose)	Vol.	The height of the note in pixels. Edit this number as desired.
Tonhöhe@info:whatsthis	Pitch	whatsthis
Die Lautstärke- und Tonhöhen-Schieberegler ein-/ausblenden@title:window	Show or hide the volume and pitch controls	The & kde; Text-to-Speech Manager (Audio tab)
Textkodierung@info:whatsthis	Text Encoding	WhatsThis text for Email setting
Zeichenkodierung für Lied- und sonstige Texte@item:inlistbox Default MIDI text encoding	Character encoding for lyrics and other text	Settings - > Configure & kaudiocreator;... - > Encoder
Standard (ASCII)@action:inmenu	Default (ASCII)	Menu Actions
Das Fenster mit den Einstellungen zur Zeichenkodierung ein-/ausblenden@title:window	Show or hide the character encoding control	Note that the --window option is important. It takes an argument which is a regular expression matching the title of the window to apply the settings to.
Rhythmus@label	Rhythm	Rhythmic Soul
Tempo:@label:slider bpm=beats per minute	Tempo:	Beats Per Minute:
120.0 BPM@info:whatsthis	120.0 bpm	127.0.0.1
Tempo oder Stückgeschwindigkeit in Beats Per Minute (BPM)@info:whatsthis	Tempo, or song speed in beats per minute	Beats Per Minute:
Tempo-Einstellung, zwischen 50% und 200 %@action:button	Tempo (song speed) control, between 50% and 200%	%1 - Actions For: %2
100 %@info:whatsthis	100%	100%
Die Stückgeschwindigkeit auf 100% zurücksetzen@label	Reset the song tempo (song speed) to 100%	Switching down burn speed to %1x
Metronom:@info:whatsthis	Metronome:	metro
Grafisches Metronom@action:inmenu	Visual metronome	Menu Actions
Lied- oder sonstiger Text@label	Song lyrics, or some other text	& Text Labels
Beispielstücke@label	Sample Songs	Example Tags
Systemstücke@info	System Songs	System Info
Das Starten von FluidSynth mit den angegebenen Argumenten ist fehlgeschlagen. Zurückgegebene Nachrichten: %1@title:window	Failed to run %1 with the provided arguments. Returned messages: %2	FluidSynth has returned the following messages when launched with the provided arguments.
Starten von FluidSynth fehlgeschlagen@info	%1 startup failed	Control for FluidSynth
Starten von TiMidity++ fehlgeschlagen@info	TiMidity++ messages	Failed to start Valgrind
Starten von FluidSynth fehlgeschlagen@title:window	FluidSynth messages	Control for FluidSynth
Alle Kanäle einblenden@action:inmenu	Show all channels	Jasem Mutlaq mutlaqja@ku. edu
Alle Kanäle ausblenden@item:inmenu	Hide all channels	Jasem Mutlaq mutlaqja@ku. edu
Kanal %1@title:window	Channel %1	Channel: %1_
Wiedergabelisten verwalten@info	Manage Playlist	Wolfgang Rohdewald wolfgang@rohdewald. de
Es ist ein schwerwiegender Fehler im ALSA-Sequencer-Modul aufgetreten. Dies geschieht meist, wenn der Kernel keine ALSA-Unterstützung besitzt, die Gerätedatei„ /dev/snd/seq“ nicht existiert, oder das Kernel-Modul„ snd_seq“ nicht geladen ist. Bitte überprüfen Sie Ihre ALSA-MIDI-Konfiguration. Der aufgetretene Fehler lautet: %1@title:window	Fatal error from the ALSA sequencer backend. This usually happens when the kernel does not have ALSA support, the device node (/ dev/ snd/ seq) does not exist, or the kernel module (snd_seq) is not loaded. Please check your ALSA/ MIDI configuration. Returned error was: %1	Alsa mixer cannot be found. Please check that the soundcard is installed and the soundcard driver is loaded.
Fehler im ALSA-Sequencer-ModulNAME OF TRANSLATORS	ALSA Sequencer Backend Error	ALSA sequencer backend
pano_90@gmx.net	Your emails	Andreas. nicolai@gmx. net
Die Schriftart, die zum Anzeigen des Liedtextes verwendet wird.	The font used to display the lyrics.	The font used for phonetics
Schriftgröße des Liedtextes	Size of the lyrics font	Size of subtitle text
Textfarbe des Liedtextes nach dem Abspielen	Color of the lyrics text, after being played	Lyrics Screenshot
Textkodierung der Liedtexte	Initial lyrics text encoding	Lyrics Data Engine
MIDI-Port-Verbindung	MIDI port connection.	Configure MIDI Devices
MIDI-Map-Datei	MIDI mapper file.	Midi Maps
Direkt nach dem Laden eines Stückes die Wiedergabe beginnen.	Start playing right after loading a song.	Instant replay.
Die Wiedergabeliste in einer Endlosschleife abspielen.	Loop the play list.	void enableRepeatPlaylist(bool enable)
Die Wiedergabeliste mischen.	Shuffle the play list.	Refreshes list.
Modus der MIDI-Reset-Nachricht	MIDI reset message mode.	Resetting Modem
System-Exclusive-Datei für die MIDI-Reset-Nachricht.	System Exclusive MIDI file for reset message.	File Revert
Erweiterte MIDI-Ports anzeigen	Show advanced MIDI ports	Configure MIDI Devices
Die Stückeinstellungen automatisch laden und speichern.	Load and save automatically the song settings.	Automatically load/ save configuration.
FluidSynth beim Start ausführen	Run FluidSynth at startup	Control for FluidSynth
Audio-Gerät	Audio Device	Audio Device:
Sound Font	Sound Font	Editor Font
TiMidity++ beim Start ausführen	Run TiMidity++ at startup	Settings Demo At Start
Audio-Ausgabe:	Audio Output:	Audio Device:
Sound-Font:	Sound Font:	Sound file:
audio/x-soundfont	audio/ x-soundfont	audio/ x-wav audio/ x-mp3 application/ ogg
Noch nicht getestet	Not yet tested	Not Practiced Yet
Stück-Einstellungen	Song Settings	Positions
MIDI-Verbindung zur Ausgabe:	Output MIDI Connection:	Edit Modem:
MIDI-Map-Datei:	MIDI mapper file:	Use the MIDI map:
MIDI-Reset-Modus:	Reset Mode:	Reset Modem
Keine Reset-Nachrichten senden	Do not send reset messages	Do Not Reset
General MIDI	General MIDI	& General MIDI
Roland GS	Roland GS	Gs
Yamaha XG	Yamaha XG	X Magnifier
System-Exclusive-Datei	System Exclusive File	System Files
*.syx_BAR_System-Exclusive-Datei (*.syx)	*. syx_BAR_System Exclusive Files (*. syx)	*. xml_BAR_Bibtexml Files (*. xml)
Schriftgröße:@info	Font size:	Text size:
Instrument	Patch	Instrumentation
Zupfmuster:	Strum & pattern:	Neuter:
Zupfmuster	4/ 4 Strumming 1	Zuunmod
Home	Move cursor to the beginning of bar	Home
"Ctrl+Home ""), KKeySequence(""Ctrl+Home"	Move cursor to the beginning of track	Ctrl; Home File First
"Ctrl+End ""), KKeySequence(""Ctrl+End"	Move cursor to the end of track	Ctrl; End File Last
Shift+Left	Move and select left	CTRL+SHIFT+LEFT
Shift+Right	Move and select right	Shift right
Ctrl+Up	Transpose up	Ctrl+C
Ctrl+Down	Transpose down	Ctrl+C
Spalte löschenCtrl+Delete	Delete column	Ctrl; Delete Edit Delete
Spalte einfügenInsert	Insert column	Edit Insert
Period	Dotted note	Period
Gebräuchlich	Usual	Required
& Analysieren	Analyze	& Archive
& Zupfmuster	Strum	& Demuxer
Inv #1	Inv #1	Inv
Inv #2	Inv #2	Inv
Inv #3	Inv #3	Inv
Inv #4	Inv #4	*4
Inv #5	Inv #5	INV(-5) equals 5
Inv #6	Inv #6	Envelope #6
Patch	Patch	Patched
KTabEdit	KTabEdit	KTabEdit
Track Eigenschaften	Track properties	Track
Optionen...	Options...	Options
& Mode:	Mode:	& Mode:
(C) 2004-2007 das KTabEdit-Entwickler-Team	(C) 2004-2007 by KTabEdit Development Team	(c) 2002-2004 The kdetv Developers
Gwenael Casaccio	Gwenael Casaccio	Angelo Naselli
KTabEdit-Team	KTabEdit team	KTabEdit
http://ktabedit.sourceforge.net	http: / /ktabedit. sourceforge. net	K3bAudioCDTextWidget
Echtzeitpriorität aktivieren	Realtime priority enable	& Increase Priority
Echtzeitpriorität	Realtime priority	Real time
TSE3	TSE3	Tm³
MIDI-Ausgabe-Port	MIDI & output port	MIDI Channels
Erneuern	& Refresh	Newer
TSE3-Fehler	TSE3 error	ft³
& Track:	& Track	& Track
& Note	& Note	& Note:
& Dauer	& Duration	& Length
& Effekte	& Effects	& Effects
Effekt-Werkzeugleiste	Effect Toolbar	Effect Images manual
Werkzeugleisten anzeigen	Show Toolbars	Toolbars Shown
SetTabMidi	SetTabMidi	Tabs Menu
Chor:	Chorus:	Dir:
Song Eigenschaften	Song Properties	& Song
Übertragen von:	Transcriber:	Import:
bpm	bpm	bpm
Metrum	Time signature	Metric
Taktwert	Beat value	Tak
Taktzahl	Beats per measure	Tak
Bis zum Ende	Apply until the end	to the end
& Trackname:	Track name:	& Filename:
& Bank:	Bank:	Bank:
Patch:	Patch:	Edit Patch
Midi-Effekte	Midi effects	Midi Maps
& Mode spezifisch	Mode specific	& Strict mode
Akkord	Chord	ACK
Stimmung:	Tuning:	Status:
Saiten:	Strings:	Gal. lat.:
Bünde:	Frets:	Fade:
Schlagzeug:	Drums:	Equipment:
Musik Theorie	Music Theory	music
MusiXTeX	MusiXTeX	ISTEXT(x)
ASCII	ASCII	Ascii
Trapezoid	Trapezoid	Geometric - Trapezoid
Ahorn	Maple	Aragon
Rosenholz	Rosewood	Bernhard Rosenkraenzer
Ebenholz	Ebony	Effingham
Tabulatur	Tabulature	Tabulator
Noten	Notes	Notes
-/+ Symbole	-/ + symbols	+ (plus sign)
b/# Symbole	b/ # symbols	Symbol/ Other
Die Bezeichnung von Jazznoten ist sehr speziell und sollte nur benutzt werden, wenn Du wirklich weisst was Du tust. Das verwenden von Jazznoten ohne einen Grund wird jeden irreführen der keine Kenntnisse von der Bezeichnung der Jazznoten hat. Bist Du sicher Jazznoten benutzen zu wollen?	Jazz note names are very special and should be used only if really know what you do. Usage of jazz note names without a purpose would confuse or mislead anyone reading the music who did not have a knowledge of jazz note naming. Are you sure you want to use jazz notes?	For many file formats, it is practical to use the filename to describe the contents of the file: Report for the board - June 2003. doc for example, may be all the information you need in order to find that file again. Trying to capture all the useful information about a particular song however, could lead to filenames like this: Type O Negative - The Glorious Liberation Of The Peoples Technocratic Republic Of Vinnland By The Combined Forces Of The United Territories Of Europa. mp3 or Various Artists_15_The Smithsonian Collection of Classic Jazz Volume II_Jimmie Lunceford & His Orchestra - Organ Grinder's Swing. mp3. These are neither very practical to use, nor do they contain all of the useful information that you might have collected about the song. Adding the album, and track number, for example, to the first would make it even longer and more unmanageable, while still not telling you at a glance the year it was released, or what style of music it is, if you're not familiar with the artist.
& Taktzahl	& Beats per measure:	& Numeration
Taktwert:	Beat & value:	Value:
Bis zum & Ende	Apply till the & end	to the end
Banjo	Banjo	Banjo
Mandoline	Mandolin	Mandeville
Ukulele	Ukulele	Lukulu
Balalaika	Balalaika	Molokai
Umkehrungen	traditional	Transformations
Geräte-Information	Device Information	Device Information
Details > >	Details > >	Details...
Screenshot anzeigen	View Screenshot	Screenshot
Umbenennen@label:textbox	Rename	\\textbf{boldface text}
Öffnen mit ...@info	Open With...	& Open...
Eine Datei names %1 existiert bereits. Sind Sie sicher, dass Sie sie überschreiben wollen?	A file named %1 already exists. Are you sure you want to overwrite it?	A file named %1 already exists. Are you sure you want to overwrite it?
Screenshot-Funktionen anzeigen	Screenshot Operations	Screenshot
Zu TV zurückkehren	Return to TV	Watch TV!
TV-Modus umschalten	"Toggle ""TV Mode"""	TV Mode
Farben des Videos anpassen	Adjust Video Colors	Inverts video colors
Geräte-Informationen anzeigen	View Device Info	Show hardware info
Keine Geräte erkannt...	No devices detected...	No message...
Standardgröße	Default Size	Standard
Ch %1	Ch %1	%1
Klicken Sie um das Video zu pausieren.	Click to pause the video...	Pause:
Klicken Sie um die Aufnahme zu starten!	Whether or not to crop video recordings.	!
Standard DVD-Auflösung (NTSC).	Standard DVD (NTSC) resolution.	DVD - Digital Video Disk
Standard SVCD-Auflösung (NTSC).	Standard SVCD (NTSC) resolution.	NTSC
Standard VCD-Auflösung (NTSC).	Standard VCD (NTSC) resolution.	NTSC
Sättigung:@title:window	Saturation:	Window title:
Objekt umbenennen@action:button	Rename Item	Button action:
Objekt %1 umbennen in:	Rename the item %1 to:	VorbisVer: %1
Schnappschüsse	Snapshots	Snippets
Schnappschuss-Einstellungen	Snapshot Settings	Jigsaw Settings
Aufnahmeeinstellungen für Video und Audio	Video and Audio Recording Parameters	Sound and Video Configuration
Videostandard- und Zuschneideeinstellungen	Video Standard and Cropping Settings	Settings Videosettings
Eine KDE4-Anwendung um TV aufzunehmen und anzusehen.	A KDE 4 application for viewing and recording TV.	TV for KDE
LinTV	Show LinTV	LinTV
(C) 2009 Zamora Studios	(C) 2009 Zamora Studios	(c) 2009 Marco Martin
Jesse L. Zamora	Jesse L. Zamora	Zamora Chinchipe
Beginnt im Hintergrund aufzunehmen bis < time > abgelaufen ist.	Starts recording in the background until < time > expires.	Continue timing. Timing has started at %1
Den Namen der Aufnahme in < filename > ändern	Sets the name of the recording to < filename >	Enter Filename
Vom < input > -Index aufnehmen	Record from the < input > index	Insert Index
Der Name des Geräts, von dem aufgenommen werden soll	The bitrate at which to record TV.	device name
Der Kanal, der aufgenommen werden soll.	The channel to record from.	Configuration of the channels.
Aufnahme abbrechen	Cancel Recording	Abort the transfer(s)
LinTV ausblenden	Hide LinTV	LinTV
Ihr NameEMAIL OF TRANSLATORS	Your names	_: EMAIL OF TRANSLATORS Your emails
Schnappschuss-Verzeichnis	Snapshot Directory	A list of Snippets
Größe des Schnappschusses	Snapshot Dimensions	Size of Target
1600x1200	1600x1200	1200x1200 dpi
1280x1024	1280x1024	Large (1280x1024)
1024x768 (Standard)	1024x768 (Default)	Normal (1024x768)
800x600	800x600	Small (800x600)
640x480	640x480	White 640x480
320x240	320x240	240x240 DPI
px.	px.	px
Format des Schnappschusses	Snapshot Format	Full Format
PNG (Standard)	PNG (Default)	PNG.
JPG	JPG	jpg
BMP	BMP	BMP
Aufnahmeseite	Recording Page	Picture Page
Speicherort der Aufnahme	Record Location	Storage location
Qualitätseinstellungen der Aufnahme	Record Quality Presets	Quality Settings
SVCD Long Play	SVCD Long Play	SVCD
SVCD Standard Play	SVCD Standard Play	SVCD
DVD Extra Long Play	DVD Extra Long Play	DVD Plus Recordable
DVD Long Play	DVD Long Play	Play DVD Video
DVD Standard Play	DVD Standard Play	Play DVD Video
Einstellungen speichern...	Save Preset...	Settings Configure...
Bitraten Details (KB/s)	Bitrate Details (KB/ s)	Target Bitrate (kbit/ s)
konstant	Constant	Constant
Spitzenbitrate:	Peak Bitrate:	Bitrate:
25	25	25th
29,97	29.97	0.97
35	35	+35
720x480	720x480	720 x 720 DPI
480x480	480x480	White 640x480
352x240	352x240	240x240 DPI
Aufnahme-Format:	Record Format:	Capture mode:
MPEG-1	MPEG-1	MPEG1
MPEG-2 (DVD / SVCD / VCD)	MPEG-2 (DVD / SVCD / VCD)	MPEG2
MPEG-4 (DivX 4/5)	MPEG-4 (DivX 4/ 5)	MPEG4 (FFMPEG)
MJPEG	MJPEG	LibJPEG
WMV (Windows Media Video)	WMV (Windows Media Video)	Windows Media v2
Audio-Typ:	Audio Type	Audio Device:
Stereo (Standard)	Stereo (Default)	Stereo
Joint-Stereo	Joint-Stereo	Joint Stereo
Zweikanalton	Dual	Dual Channel
Audio Bitrate (KB/s)	Audio Bitrate (KB/ s)	Audio bit rate (kbit):
96	96	96 kbs
128	128	128th
196	196	19
256	256	256 mm
384	384	389
Durchschnittliche Audio-Größe: 1,2 MB / Minute 72 MB / Stunde	Average audio size: 1.2 MB / minute 72 MB / hour	72 MB
Audio-Format	Audio Format	Audio Mode
MPEG Layer 3 (mp3)	MPEG Layer 3 (mp3)	MPEG1 Layer III
MPEG Layer 2 (mp2)	MPEG Layer 2 (mp2)	MPEG2 Extended
Dolby Digital (ac3)	Dolby Digital (ac3)	AC3 (Stereo)
Samplerate	Audio Rate	Sample rate
48000 (48 khz)	48000 (48 khz)	4.800
44100 (44.1 khz)	44100 (44.1 khz)	4.100
38000 (38 khz)	38000 (38 khz)	3.800
Fps:	Fps:	Fwd:
224	224	224 kbs
448	448	486
Audiomixer:	Audio Mixer:	Audio Mixer
Geräte-Schnittstelle:	Device Node:	Equipment:
Video-Standard auswählen	The selected video standard.	Settings Videosettings
über Land/Region	By Country/ Region	Border/ Coast
über den Videostandard	By Standard	Video Picture Size
PAL	PAL	PAL-N
SECAM	SECAM	SAAM
Zuschneide-Areal	Video Crop Area	Jens Zurheide
Wählen Sie, wie viele Pixel auf jeder Seite abgeschnitten werden sollen:	Select how many pixels on each side of the video you would like to crop:	Click on one of the squares to select the eraser size. You can select from squares of side length 2, 3, 5, 9, 17 and 29 pixels.
& Standardwerte zurücksetzen	& Reset Defaults	& Reset Grades
kapp4_base	kapp4_base	kapptemplate; fourth page
„ Immer im Vordergrund“ umschalten	"Toggle ""Always on Top"""	Always face front
Kanal hochschalten	Channel Up	Channel & Up
Kanal runterschalten	Channel Down	Minimize Channel
LinTV konfigurieren	Configure LinTV	LinTV
Schnappschüsse:	Snapshots:	OnMouseUp:
Einen Schnappschuss aufnehmen!	Take a snapshot.	Taking A Snapshot
Ch 3	Ch 3	3
Lautstärke: 100%	Volume: 100%	Volume: 100% (muted)
„ Lautlos“	Toggle Mute	lats; lati
Eingang:	Input:	Entry:
Die Nummer der geplanten Aufnahme...	The height of the recorded video.	Capture Image Sequence...
Breite des Hauptfensters.	Width of the main window.	The size of the main window.
Höhe des Hauptfensters.	Height of the main window.	The main window's height.
Aufnahme hinzufügen	Add Program	Add Capture
Aufnahme bearbeiten	Edit Program	Capture Image
& nbsp; - Sie haben die Startzeit auf %1 gesetzt, aber die aktuelle Zeit ist %2!	& nbsp; - You set the start time to %1, but the current time is %2.	Scheduled start: %1, target time: %2
& nbsp; - Kann um %1 nicht aufnehmen!	& nbsp; - Cannot record for %1.	Cannot parse %1
& nbsp; - Heute ist der %1 ,aber Sie haben das Aufnahmedatum auf %2 gesetzt!	& nbsp; - Today is %1, but you set the date to start recording to %2.	Creation date: %1, Status: %2
& nbsp; - Das Ende der Aufnahme( %1) ist vor dem Start der Aufnahme (%2)!	& nbsp; - You set the end time (%1) before the start time (%2).	"& Next: %1 - ""%2"""
Konnte das Programm nicht speicher:	Errors saving program:	Cannot Remove Program
Fehler im Aufnahmeplan	Scheduling Errors	Error on importing
Nächster Aufnahemtermin: %1	Next Run Date: %1	Next: %1
Aufnahmetermin: %1	Run Time: %1	Start Date: %1
Konnte das Stylesheet nicht finden! Bitte gehen Sie sicher, dass sie LinTV richtig installiert haben!	Could not find the stylesheet. Please make sure you have installed LinTV correctly.	Error: Unable to cd. No stylesheet loaded.
Konnte Datei nicht finden!	Error finding file.	Cannot Find File
Ein KDE4-Anwendung um TV-Aufnahmen für LinTV zu planen.	A KDE 4 application for sheduling TV recordings for LinTV.	kdetv: TV for KDE
LinTV Aufnahmeplanung	LinTV Scheduler	LinTV
Klicken Sie auf„ Aufnahme hinzufügen“ um eine neue Aufnahme anzulegen!	"Click ""Add Program"" to create a new record schedule."	Enter the image's caption. This field is not limited. UTF8 encoding will be used to save the text.
Aufnahme löschen	Refresh Programs	Remove photo
Aufnahmeeinstellungen	Record Settings	Integration Settings
%1 (Kanal %2)	%1 (Channel %2)	%1 (port %2)
%1 (Eingang %2)	%1 (Input %2)	%1 (%2)
Sind Sie sicher, dass Sie„ %1“ löschen wollen?	"Are you sure you want to remove ""%1""?"	Are you sure you want to remove %1?
Es wurden keine Geräte erkannt.	No devices were detected.	No device found.
Keine Geräte!NAME OF TRANSLATORS	No devices.	No File Name Given
Titel der Aufnahme:	Program Name:	Image Title:
Start der Aufnahme:	Start Time:	Beginning:
nur einmal aufnehmen	Record only once	Show Only Once
Diese Einstellung nimmt eine Aufnahme nur einmal auf. Sie startet zu dem Zeitpunkt, den sie wählen.	This records a program only one time, starting at the starting date you specify.	Action '%1 'has already been added to this toolbar. An Action may only occur once in a given toolbar.
nur einmal	One Time Only	First Only
jeden Tag aufnehmen	Record every day	every day
Diese Einstellung wird die Aufnahme an jedem Tag, der in„ Aufnahmetage“ ausgewählt wird zur gleichen Zeit starten.	"This will record every day of the week which you select in the ""Days to run"" group box."	Start at this day [YYYY-MM-DD]. Default date is Today
täglich	Every Day	every day
Jeden Woche aufnehmen	Record every week	Entire Week
Diese Einstellung nimmt die Aufnahme jede Woche auf, beginnend mit einem Datum, das sie wählen. Beispielsweise, wenn sie die Aufnahme an einem Dienstag starten, wird sie nächsten Dienstag wieder aufgenommen, usw.	This records every week, starting at the date you specify. For example, if you start it on a Tuesday, it will run the next Tuesday, and so on.	... that you can select whether the week starts on Monday or on Sunday in the System Settings? KOrganizer uses this setting. Look at Regional & Language- > Country/ Region & Languages in the System Settings, or select Settings, Configure Date & Time... from the menu bar. Select the Time & Dates tab.
Jede Woche	Every Week	Entire Week
Aufnahmezeit & & -datum:	Run Time & & Date	& Time & & Dates
Wählen Sie zu welcher Zeit die Aufnahme starten soll.	Choose at what time you would like to start recording.	Select the starting time for this event.
Ende der Aufnahme:	End Time:	Ending on:
Wählen Sie, zu welcher Zeit die Aufnahme enden soll.	Choose at what time you would like to end the recording.	Select the ending date for this event.
Wählen Sie ein Datum an dem die Aufnahme enden sol.	Choose a date to stop recording your program.	Select the ending date for this event.
Wählen Sie ein Datum, an dem die Aufnahme starten soll.	Choose a start date for your program.	Select the starting date for this event.
Aufnahmetage:	Days to run:	Days:
Alle Tage auswählen	Select All the Days	Edit Select All
Alle Tage abwählen	Deselect All the Days	every day
Keine auswählen	Select None	No Option Selected
Wählen Sie ein Gerät,von dem aufgenommen werden soll.	Select a device to record from.	Please select a device.
Wenn Sie mehrere Geräte zur Aufnahme haben, können Sie hier das Gerät, von welchem aufgenommen werden soll, auswählen.	If you have multiple devices in your system, you may select the device you would like to record from here.	On the left you are presented a tree list with various categories of outputs and capture. For each category you may choose what device you wish to use.
Wählen Sie einen Eingang auf dem Gerät.	Select an input on the device.	Please select a device.
Sie können hier auswählen, welcher Eingang des gewählten Geräts zur Aufnahme genutzt werden soll.	You may select what input on the selected device from which to record from here.	Select here the image input equipment type used to take the picture.
Einen Kanal auswählen:	Select a channel.	Channels:
