Stopp@info:whatsthis	Stop	Sample Pieces/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots/Plots	This allows you to save code snippets and entire files as a template for later use. See the section on templates. If you try to save the selected text/ file outside of the local/ project template dir, then you will receive an error.
Wiedergabe oder Aufnahme stoppen@action:inmenu	Stop playback or recording	System Pieces (SPCs)______________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________	System Processes
Datei-Informationen ...@action playlist repeat	File info...	Failed to start FluidSynth with the specified arguments. Messages returned: %1	FluidSynth has returned the following messages when launched with the provided arguments.
Wiederholen@action playlist shuffle	Repeat	Failed to start FluidSynth	Failed to start Valgrind
Beliebige Reihenfolge@action player auto-start	Shuffle	Start TiMidity++ failed	Starting KTTSD Failed
Automatisch starten@action	Auto-Start	Failed to start FluidSynth	Failed to start Valgrind
Automatisch zur Wiedergabeliste hinzufügen@action	Auto-Add to Playlist	Show all channels	Show all lines
source	target	translation	search_result
Telefon@item:inlistbox	Telephone	Hide All Channels	Hide All Columns
Helikopter@item:inlistbox	Helicopter	Channel %1	Channel %1
Applaus@item:inlistbox	Applause	Manage playlists	Making a playlist
Gewehrschuss@item:inlistbox	Gunshot	"There has been a serious error in the ALSA sequencer module. This usually happens if the kernel has no ALSA support, the device file "" /dev/snd/seq"" does not exist, or the kernel module ""snd_seq"" is not loaded. Please check your ALSA MIDI configuration. The error occurred is: %1@title:window"	Unknown error. If you have a cd in the drive try running cdparanoia -vsQ as yourself (not root). Do you see a track list? If not, make sure you have permission to access the CD device. If you are using SCSI emulation (possible if you have an IDE CD writer) then make sure you check that you have read and write permissions on the generic SCSI device, which is probably / dev/ sg0, / dev/ sg1, etc.. If it still does not work, try typing audiocd: / ?device=/ dev/ sg0 (or similar) to tell kio_audiocd which device your CD-ROM is.
Perkussion %1	Percussion %1	Error in ALSA Sequencer module	ALSA sequencer backend
Ein MIDI/Karaoke-Abspielprogramm für KDE 4	A KDE 4 MIDI/ Karaoke player	pano_90@gmx.net	majewsky@gmx. net
Pedro Lopez-Cabanillas	Pedro Lopez-Cabanillas	The font used to display the lyrics.	The font used to display the characters.
Zu öffnende Stücke@info	Song(s) to open	Font size of the song text	Size of subtitle text
Es ist kein MIDI-Modul geladen.@title:window	No MIDI backend loaded.	Text color of the song text after playback	Color used for text on back of flashcard
Schwerwiegender Fehler@info:whatsthis	Fatal	Text encoding of lyrics	Text encoding
Die Anwendung beenden@info:whatsthis	Exit the application	MIDI port connection	MIDI
Eine Datei von der Festplatte öffnen@info:whatsthis	Open a file from disk	MIDI map file	MIDI
Die Programmeinstellungen anpassen@info:whatsthis	Configure the program settings	Start playing right after loading a piece.	Start playing when a CD is inserted.
Den Liedtext ausdrucken@action:inmenu	Print the lyrics	Play the playlist in an endless loop.	Repopulate the playlist with random tracks.
Liedtext speichern ...@action player play	Save Lyrics...	Mix the playlist.	Shuffles the playlist.
Wiedergabe@info:whatsthis	Play	MIDI reset message mode	MIDI
Wiedergabe starten@action player pause	Start playback of the current session	System Exclusive file for the MIDI reset message.	Prints the log entry for the last commit for a file.
Pause@info:whatsthis	Pause	Show extended MIDI ports	MIDI Channels
Wiedergabe anhalten@action player next song	Pause the playback	Load and save the piece settings automatically.	Automatically load/ save configuration.
Nächstes Stück@action player previous song	Next song	Run FluidSynth at startup	Show splash-screen on startup
Vorheriges Stück@action player skip forward	Previous song	Audio device	Audio Device:
Vorspulen@info:whatsthis	Forward	Sound Font	Bold font
Im Stück vorspulen@action player skip backward	Player seek forward	Run TiMidity++ at startup	& Start TLS nonetheless
Zurückspulen@info:whatsthis	Rewind	Audio output:	Audio Output
Im Stück zurückspulen@action player stop	Player seek backward	Sound font:	Text font:
Stopp@info:whatsthis	Stop	audio/x-soundfont	Music/ Audio
Wiedergabe oder Aufnahme stoppen@action:inmenu	Stop playback or recording	Not yet tested...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................	Not checked
Datei-Informationen ...@action playlist repeat	File info...	Piece Settings............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................	Settings Configure...
Wiederholen@action playlist shuffle	Repeat	MIDI connection to output:	MIDI
Beliebige Reihenfolge@action player auto-start	Shuffle	MIDI map file:	Use the MIDI map:
Automatisch starten@action	Auto-Start	MIDI reset mode:	Edit Mode:
Automatisch zur Wiedergabeliste hinzufügen@action	Auto-Add to Playlist	Don't send reset messages	Do n't show messages anymore
source	target	translation	search_result
Telefon@item:inlistbox	Telephone	General MIDI	& General MIDI
Helikopter@item:inlistbox	Helicopter	Roland GS	Roland Schulz
Applaus@item:inlistbox	Applause	Yamaha XG	Yamaha TX-16W
Gewehrschuss@item:inlistbox	Gunshot	System Exclusive File	Filesystem Specific
Perkussion %1	Percussion %1	*.syx_BAR_System Exclusive file (*.syx)	*. xsl_BAR_XSL Files (*. xsl)
Ein MIDI/Karaoke-Abspielprogramm für KDE 4	A KDE 4 MIDI/ Karaoke player	Font size: ___________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________	Font size:
Pedro Lopez-Cabanillas	Pedro Lopez-Cabanillas	Instrument	Instrumentation
Zu öffnende Stücke@info	Song(s) to open	Picking patterns:	Selection mode:
Es ist kein MIDI-Modul geladen.@title:window	No MIDI backend loaded.	Picking patterns	Template Selection
Schwerwiegender Fehler@info:whatsthis	Fatal	Home	Home
Die Anwendung beenden@info:whatsthis	Exit the application	"Ctrl+Home ""), KKeySequence(""Ctrl+Home"	& Ctrl; Home Go
Eine Datei von der Festplatte öffnen@info:whatsthis	Open a file from disk	"Ctrl+End ""), KKeySequence(""Ctrl+End"	Underline (Ctrl+u)
Die Programmeinstellungen anpassen@info:whatsthis	Configure the program settings	Shift+Left	CTRL+SHIFT+LEFT
Den Liedtext ausdrucken@action:inmenu	Print the lyrics	Shift+Right	CTRL+SHIFT+RIGHT
Liedtext speichern ...@action player play	Save Lyrics...	Ctrl+Up	Ctrl+C
Wiedergabe@info:whatsthis	Play	Ctrl+Down	Ctrl+C
Wiedergabe starten@action player pause	Start playback of the current session	Delete columnCtrl+Delete	Delete column
Pause@info:whatsthis	Pause	Insert column	Insert column
Wiedergabe anhalten@action player next song	Pause the playback	Period	Period
Nächstes Stück@action player previous song	Next song	Common	Common
Vorheriges Stück@action player skip forward	Previous song	& Analyze	& Review
Vorspulen@info:whatsthis	Forward	& Pick Patterns	& Patterns
Im Stück vorspulen@action player skip backward	Player seek forward	Inv #1	Stage #1
Zurückspulen@info:whatsthis	Rewind	Inv #2	Up #2
Im Stück zurückspulen@action player stop	Player seek backward	Inv #3..........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................	Inv
Stopp@info:whatsthis	Stop	Inv #4	Bin 4
Wiedergabe oder Aufnahme stoppen@action:inmenu	Stop playback or recording	Inv #5	Bin 5
Datei-Informationen ...@action playlist repeat	File info...	Inv #6	Envelope #6
Wiederholen@action playlist shuffle	Repeat	Patch	Patches
Beliebige Reihenfolge@action player auto-start	Shuffle	KTabEdit	KTabEdit
Automatisch starten@action	Auto-Start	Track properties............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................	Column Properties...
Automatisch zur Wiedergabeliste hinzufügen@action	Auto-Add to Playlist	Options...	Options:
source	target	translation	search_result
Telefon@item:inlistbox	Telephone	& fashion: fashion:	& Style:
Helikopter@item:inlistbox	Helicopter	(C-2004)The K-Editor-C-2007	(C) 2005-2006 The KJSEmbed Authors
Applaus@item:inlistbox	Applause	G.A.L.A.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.C.	GHC
Gewehrschuss@item:inlistbox	Gunshot	KT-editing team-editing team-editing team-editing team-editing team-editing team-editing team-editing team-editing team	KWrite - Text Editor
Perkussion %1	Percussion %1	http://www.dg.com/en.html http://www.dg.com/en.html http://www.dg.com/en/index.html http://www.dg.com/en/index.html http://www.dgg.com/en/en/index.html http://www.dgdg.html http://dgdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdg.html httpdgdg.html httpdg.html httpdg.html httpdg.html httpdg.html	However, to make use of this feature, ht: / /dig has to be installed on your system and & kde; has to be configured to make use of it. This control module tries to help you doing the latter. If you have n't installed ht: / /dig and it was n't shipped with your operating system you have to get ht: / /dig yourself. Have a look at the ht: / /dig homepage on how to download and install it.
Ein MIDI/Karaoke-Abspielprogramm für KDE 4	A KDE 4 MIDI/ Karaoke player	Achieving a priority in real time	Use realtime scheduling
Pedro Lopez-Cabanillas	Pedro Lopez-Cabanillas	Real-time priority	Real Time
Zu öffnende Stücke@info	Song(s) to open	TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3: TSE3:	cubic terameter; cubic terameters; Tm³; Tm/ -3; Tm^3; Tm3
Es ist kein MIDI-Modul geladen.@title:window	No MIDI backend loaded.	MI-Port - MI-Port	I/ O-Port
Schwerwiegender Fehler@info:whatsthis	Fatal	He's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new, he's new,	Adds a new attendee to the list. Once the attendee is added, you will be able to edit the attendee's name, role, attendance status, and whether or not the attendee is required to respond to the invitation. To select an attendee from your address book, click the'Select Addressee 'button instead.
Die Anwendung beenden@info:whatsthis	Exit the application	TSE-Failure-Failure-Failure-Failure-Failure-Failure-Failure-Failure-Failure	Found corrupted CD-TEXT. Ignoring it.
Eine Datei von der Festplatte öffnen@info:whatsthis	Open a file from disk	& Track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track: track	& kplayer-howto-installation; & kplayer-howto-compilation; & kplayer-howto-configuration; & kplayer-howto-settings; & kplayer-howto-properties; & kplayer-howto-full-screen; & kplayer-howto-playlist; & kplayer-howto-library; & kplayer-howto-subtitles; & kplayer-howto-devices; & kplayer-howto-streams; & kplayer-howto-slaves; & kplayer-howto-troubleshooting; & kplayer-howto-bug-reporting; & kplayer-howto-translation;
Die Programmeinstellungen anpassen@info:whatsthis	Configure the program settings	& Note & Note	& Note:
Den Liedtext ausdrucken@action:inmenu	Print the lyrics	& Duration & Duration	& Duration:
Liedtext speichern ...@action player play	Save Lyrics...	& effects & effects	& Effects
Wiedergabe@info:whatsthis	Play	Effect-Tools-Tools-Tools-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------	- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - O - - - - - - - - - - - - - - - O - - - H * * * * - - - - - - - - - - - - H * * * * O - - - - - - * - - - - - - - - - - - - - - - - O - - - - - - O - - - - H * * * O - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Wiedergabe starten@action player pause	Start playback of the current session	I'll show you the tools I've been using, and I'll show you the tools I've been working on, and I'll show you the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on, and the tools I've been working on.	& kplayer-howto-installation; & kplayer-howto-compilation; & kplayer-howto-configuration; & kplayer-howto-settings; & kplayer-howto-properties; & kplayer-howto-full-screen; & kplayer-howto-playlist; & kplayer-howto-library; & kplayer-howto-subtitles; & kplayer-howto-devices; & kplayer-howto-streams; & kplayer-howto-slaves; & kplayer-howto-troubleshooting; & kplayer-howto-bug-reporting; & kplayer-howto-translation;
Pause@info:whatsthis	Pause	SetTab SetTab SetTab	Tabs Tab Placement
Wiedergabe anhalten@action player next song	Pause the playback	Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus: Chorus:	& kplayer-howto-installation; & kplayer-howto-compilation; & kplayer-howto-configuration; & kplayer-howto-settings; & kplayer-howto-properties; & kplayer-howto-full-screen; & kplayer-howto-playlist; & kplayer-howto-library; & kplayer-howto-subtitles; & kplayer-howto-devices; & kplayer-howto-streams; & kplayer-howto-slaves; & kplayer-howto-troubleshooting; & kplayer-howto-bug-reporting; & kplayer-howto-translation;
Nächstes Stück@action player previous song	Next song	It's a song. It's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song, it's a song.	This PLONK! looks like some comic-sound, does it not? And that is exactly what it is used for. The one who reads it knows he was just added to the killfile of a newsreader; normally this means the recipient of the PLONK! annoyed the sender. The PLONK! is meant to play back the sound of the recipients name hitting the ground in the killfile.
Vorheriges Stück@action player skip forward	Previous song	About: Carrying on from the bottom of the road........of the road..of the road..of the road..of the road..of the road..of the road..of the road..of the road..of the road..of the road..of the road..of the road..of the road...of the road..of the road..of the road..of the road..of the road..of the road..of the road..of the road..of the road..of the road....of the road....of the road....of the road. of the road....of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road. of the road.	An example. I teach Railway staff how to respond to accidents. I wanted to use a slide to discuss how you can move dangerous loads from a derailed or damaged rail vehicle to a road vehicle after an accident. The slide I made had a simple drawing of tank wagon, the kind used for carrying gases or oils. On the side I wrote Lethal Chemical Company so that I do not have to explain it. I wanted to make several important points. First, you must get any overhead electric wires turned off before you do anything if they are within a certain distance. I drew one of the supporting structures and drew an arrow with the safety distance on it. Then I wanted to say that you must not transfer the wagon's contents in darkness or thunderstorms. I drew a moon and a lightning bolt above the vehicle. You must get specialist advice, so I drew a sheet of paper and wrote the word Plan near the vehicle. You also have to ensure that the vehicle does not move when the weight inside is removed. I drew little red wedges by the wheels. Everything I need to talk about is on this drawing. All I have to do is look at the drawing and it tells me what I need to cover. When I have covered all the things in the drawing, I have finished on that subject.
Vorspulen@info:whatsthis	Forward	bppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppppp	⁶
Im Stück vorspulen@action player skip backward	Player seek forward	It's Metrum. It's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum, it's Metrum.	megameter; megameters; Mm
